,title,publisher,img,release_date,critic_score,console
0,#IDARB,Other Ocean Interactive,/games/boxart/default.jpg,2015-02-01,7.7,XOne
1,#killallzombies,Beatshapers,/games/boxart/full_7879195AmericaFrontccc.jpg,2015-01-01,5.3,PS4
5,.hack//G.U. Last Recode,Namco Bandai Games,/games/boxart/full_4731444AmericaFrontccc.jpg,2017-11-03,7.6,"PS4, PC"
7,007 Legends,Activision,/games/boxart/full_4615325AmericaFrontccc.jpg,2012-10-16,4.5,"PS3, X360, PC"
8,007: Quantum of Solace,Activision,/games/boxart/6998455ccc.jpg,2008-11-04,6.8,"PS3, PC, X360"
10,1-2-Switch,Nintendo,/games/boxart/full_3991269AmericaFrontccc.jpg,2017-03-03,5.7,NS
14,10000000,EightyEightGames,/games/boxart/full_2126041AmericaFrontccc.jpg,2013-01-15,7.8,PC
15,11-11 Memories Retold,Bandai Namco Entertainment,/games/boxart/full_797929AmericaFrontccc.jpg,2018-11-08,7.7,PC
27,13 Sentinels: Aegis Rim,Atlus,/games/boxart/full_2920777JapanFrontccc.jpg,2020-09-22,8.5,"PS4, NS"
28,140,Carlsen Games,/games/boxart/full_1494719AmericaFrontccc.jpg,2013-10-16,7.0,PC
29,15 Days,DTP Entertainment,/games/boxart/full_2279729PALFrontccc.jpg,2009-11-20,6.3,PC
31,1701 A.D. Gold Edition,Aspyr,/games/boxart/6044396ccc.jpg,2008-07-24,7.9,PC
37,1849,Unknown,/games/boxart/default.jpg,2014-07-01,6.0,PC
38,1954: Alcatraz,Unknown,/games/boxart/full_170139AmericaFrontccc.jpeg,2014-01-01,5.8,PC
39,198X,Hi-Bit Studios,/games/boxart/full_7195928AmericaFrontccc.jpg,2019-06-20,6.3,"PS4, PC, XOne, NS"
41,2010 FIFA World Cup South Africa,EA Sports,/games/boxart/full_2944762AmericaFrontccc.jpg,2010-04-27,8.3,"X360, PS3"
42,2014 FIFA World Cup Brazil,EA Sports,/games/boxart/full_9938212AmericaFrontccc.jpg,2014-04-15,7.6,"X360, PS3"
43,2064: Read Only Memories,MidBoss,/games/boxart/full_3016158AmericaFrontccc.jpg,2015-10-06,7.6,"PC, XOne, PS4"
44,2064: Read Only Memories INTEGRAL,MidBoss,/games/boxart/full_9374563AmericaFrontccc.png,2018-07-26,7.4,NS
45,20XX,Batterystaple Games,/games/boxart/full_9795897AmericaFrontccc.jpg,2017-08-16,7.7,"PC, NS"
46,2Dark,Unknown,/games/boxart/full_2184197AmericaFrontccc.jpg,2015-01-01,5.4,PC
51,30XX,Batterystaple Games,/games/boxart/full_6733673AmericaFrontccc.jpg,2021-12-01,8.2,PC
52,36 Fragments of Midnight,Petite Games,/games/boxart/full_7045871AmericaFrontccc.png,2017-09-14,3.7,NS
53,39 Days to Mars,It's Anecdotal,/games/boxart/full_896464AmericaFrontccc.jpg,2018-04-25,7.1,"PC, NS, XOne"
54,3D Dot Game Heroes,Atlus,/games/boxart/full_2440325AmericaFrontccc.jpg,2010-05-11,7.5,PS3
59,4 Elements,eGames,/games/boxart/full_4-elements_117AmericaFront.jpg,2009-05-11,6.5,PC
64,428: Shibuya Scramble,Spike Chunsoft,/games/boxart/full_5550270AmericaFrontccc.jpg,2018-09-04,8.5,PS4
65,4PM,4PM Game LTD,/games/boxart/full_9505053AmericaFrontccc.jpg,2014-07-09,4.1,PC
67,50 Cent: Blood on the Sand,THQ,/games/boxart/full_5608516AmericaFrontccc.jpg,2009-02-24,7.2,"X360, PS3"
69,60 Seconds!,Robot Gentleman Studios,/games/boxart/full_7734329AmericaFrontccc.png,2017-12-18,6.3,NS
70,60 seconds!,Robot Gentleman Studios,/games/boxart/full_1110183AmericaFrontccc.jpg,2015-05-25,6.3,PC
72,7 Days to Die,The Fun Pimps,/games/boxart/full_8931458AmericaFrontccc.jpg,2013-12-13,3.5,"PC, XOne, PS4"
76,7th Sector,Sometimes You,/games/boxart/full_8541952AmericaFrontccc.jpg,2020-02-05,7.6,"XOne, NS, PS4, PC"
78,8-Bit Armies,Soedesco,/games/boxart/full_5893371AmericaFrontccc.jpg,2018-09-21,6.9,"NS, XOne, PS4, PC"
80,88 Heroes: 98 Heroes Edition,Rising Star Games,/games/boxart/full_8424487AmericaFrontccc.jpg,2017-10-10,6.5,NS
81,8BitBoy,AwesomeBlade,/games/boxart/full_1571218AmericaFrontccc.jpg,2014-05-06,6.4,PC
84,911 Operator,SONKA,/games/boxart/full_524535PALFrontccc.jpg,2018-10-26,6.8,NS
85,99 Levels to Hell,Zaxis Games,/games/boxart/default.jpg,2014-02-19,6.6,PC
90,A Bird Story,Freebird Games,/games/boxart/default.jpg,2013-07-01,6.6,PC
92,A Fistful of Gun,Devolver Digital,/games/boxart/full_9405901AmericaFrontccc.jpg,2015-07-01,6.0,PC
93,A Game of Thrones: Genesis,Focus Home Interactive,/games/boxart/full_a-game-of-thrones-genesis_924AmericaFront.jpg,2011-09-28,4.9,PC
94,A Golden Wake,Wadjet Eye Games,/games/boxart/full_4840186AmericaFrontccc.jpeg,2014-10-01,6.8,PC
95,A Hat in Time,Gears for Breakfast,/games/boxart/full_6251952AmericaFrontccc.jpg,2017-10-05,7.9,"PC, PS4, XOne"
96,A Hole New World,Dolores Entertainment SL,/games/boxart/full_471563AmericaFrontccc.png,2018-03-01,6.9,NS
97,A King's Tale: Final Fantasy XV,Square Enix,/games/boxart/full_833006AmericaFrontccc.jpg,2016-11-29,7.0,"XOne, PS4"
98,A Kingdom for Keflings,NinjaBee,/games/boxart/full_a-kingdom-for-keflings_194AmericaFront.jpg,2010-03-30,7.8,PC
99,A New Beginning,Daedalic Entertainment,/games/boxart/full_a-new-beginning_169PALFront.jpg,2012-12-11,6.9,PC
100,A Normal Lost Phone,Plug In Digital,/games/boxart/full_1099660AmericaFrontccc.png,2018-03-01,7.3,NS
101,A Plague Tale: Innocence,Focus Home Interactive,/games/boxart/full_2650106AmericaFrontccc.jpg,2019-05-14,8.1,"PC, XOne, PS4"
104,A Robot Named Fight!,Hitcents,/games/boxart/full_5505548AmericaFrontccc.png,2018-04-26,7.1,NS
105,A Story About My Uncle,Coffee Stain Studios,/games/boxart/full_2247936AmericaFrontccc.jpg,2014-05-28,7.3,PC
106,A Total War Saga: Troy,Sega,/games/boxart/full_8696993AmericaFrontccc.jpg,2020-08-13,7.5,PC
107,A Valley Without Wind,"Arcen Games, LLC",/games/boxart/full_913947AmericaFrontccc.jpg,2012-04-24,6.8,PC
108,A Vampyre Story,The Adventure Company,/games/boxart/full_4992356AmericaFrontccc.jpg,2008-12-02,7.5,PC
109,A Virus Named TOM,Misfits Attic,/games/boxart/full_1548388PALFrontccc.png,2012-08-01,7.0,PC
110,A Way Out,Electronic Arts,/games/boxart/full_9675419AmericaFrontccc.jpg,2018-03-23,7.8,"PS4, PC, XOne"
112,A-Men,Bloober Team,/games/boxart/full_3608355AmericaFrontccc.jpg,2014-01-25,6.7,PC
116,A-Train HX,505 Games,/games/boxart/full_8680781PALFrontccc.jpg,2008-03-07,2.0,X360
120,A.R.E.S. Extinction Agenda,Extend Studio,/games/boxart/full_ares-extinction-agenda_660AmericaFront.jpg,2010-12-14,6.8,PC
121,A.R.E.S. Extinction Agenda EX,ORiGO Games,/games/boxart/full_2558316AmericaFrontccc.jpg,2014-10-03,6.6,PC
123,ABZU,505 Games,/games/boxart/full_8381592AmericaFrontccc.jpg,2016-08-02,7.8,"PC, PS4, XOne, NS"
125,AC/DC LIVE: Rock Band Track Pack,MTV Games,/games/boxart/full_346556AmericaFrontccc.jpg,2008-11-16,6.7,"X360, PS3"
